arm,seed,description,teacher_mse_train_final,teacher_mse,free_run_rmse,jx_err_mean,jx_err_max,ju_err_mean,ju_err_max,equilibrium_drift,homogeneity_flatness,jx_far_from_origin,jx_at_origin,jx_origin_spike_ratio,directional_asymmetry_at_smallest_eps,directional_asymmetry_at_largest_eps,sigma_jx_err_correlation
arm_5,2,S4 + LN prenorm - full model,2.1311782010190425e-05,2.1311782017393082e-05,0.005142784416748972,0.0718590162694964,0.22404835492759126,0.08269197308163603,0.4700274944117091,1.5620963898429492,3.2796638712180064,2.7431122750415087,1.2171538601322258,0.4437127387043638,2.8514145715438297e-05,2.0380891512197956,-0.10723127935018982
arm_5,3,S4 + LN prenorm - full model,7.0319168981209085e-06,7.031916898121811e-06,0.002483491006265136,0.3284720810041298,0.6923291963091307,0.33557890369829013,0.8505714059998414,0.04694153977590938,2.0143494387640106,1.6047466071928336,5.228008884133621,3.2578407461343213,0.0007619246017888104,1.1308957797450396,-0.18868341022529264
arm_5,4,S4 + LN prenorm - full model,8.241843940507906e-06,8.241843934355773e-06,0.003443292503990077,0.05752040986785811,1.24650689636293,0.06427880002114195,1.4906698217002277,0.6702198246227651,0.7499829425022381,2.8493825469410097,1.6358472265250135,0.5741058631390853,2.960224595338623e-06,0.28405778589860564,-0.2970286374405416
arm_5,5,S4 + LN prenorm - full model,6.824808174819509e-05,6.824808174381784e-05,0.03282722621080407,0.40270896555997315,4.054073462654671,0.38678663755119713,2.9611073103546817,-0.008737854158431924,9.225258619187327,1.5229692527814447,14.295580734043359,9.386650917564427,3.8624387954197537e-05,7.461610483051929,-0.41947292142459636
arm_5,6,S4 + LN prenorm - full model,1.7731742234896646e-05,1.7731742234868524e-05,0.004083265441679515,0.09184297528761448,0.5863996476889639,0.08752154431453764,0.6456501126372644,0.791527696837741,3.8572757638893975,2.5124423961814095,5.344682640435084,2.1272856438652354,3.389915547868938e-05,2.946322165863887,-0.3754984413437114
arm_5,7,S4 + LN prenorm - full model,0.0001038867418864683,0.00010388674188050892,0.012448031641424606,0.06433624876264261,1.085896473638288,0.04289340368662287,0.6985019150280347,0.3226716723961401,0.6165782182449824,2.7530592708172676,1.1490417624618519,0.41736906089956777,7.150204817119032e-07,0.06980100950911472,-0.12691067273834306
arm_6,0,"S4 + LN postnorm - full model, placement swapped",8.360497851776031e-06,8.360497851806573e-06,0.0027259767502340587,0.4790319790017034,1.2825388190643883,0.5550802348139044,2.096319708082796,-2.1445303502574977,4.755970550271446,4.940752520769443e-06,7.635055764785401,1545322.4448482117,1.5306221004762754e-05,1.4882297567376757,
arm_6,1,"S4 + LN postnorm - full model, placement swapped",0.00012974863511993628,0.00012974863511748094,0.09677947716966635,0.6810775157281267,1.1020817756977335,0.7893340018145275,4.671076772974658,0.3382272085625605,1.626027268417875,2.3462900902614733e-06,3.5150023969959685,1498110.745804775,3.6997121841131353e-06,0.38230762634555077,
arm_6,2,"S4 + LN postnorm - full model, placement swapped",0.008612035979373777,0.008612035979373125,1.2081903292525518,0.6031160393670864,1.7245194000212265,0.7959212586020677,4.7611167156322445,-1.677588110231803,6.68140755612965,5.68155892540791e-07,5.659684852744114,9961499.875384595,1.9393473800782823e-05,1.9206623156231073,
arm_6,3,"S4 + LN postnorm - full model, placement swapped",1.3806976776245787e-05,1.3806976776342096e-05,0.004491863974936812,0.7628400135561383,2.367199406938575,0.8137518754152527,2.7751352260774715,8.670469301437517,4.743948139198142,1.3764725605008689e-06,-5.063166216209052,3678363.348098036,4.502249210797116e-05,4.027982507656703,
arm_6,4,"S4 + LN postnorm - full model, placement swapped",1.733629708659161e-05,1.7336297086784333e-05,0.004123702463859253,0.4423423042165485,1.4735125125287325,0.46309454652036797,2.218113024190069,-6.250097721616818,6.829860083617843,-1.6578164530167726e-06,11.231506240289914,6774879.221310443,4.5633025522739956e-05,4.113120060195243,
arm_6,5,"S4 + LN postnorm - full model, placement swapped",0.0003032695204064265,0.00030326952041229664,0.12893166774423043,0.3786838992961629,1.0254839160242541,0.4922809535993604,4.3231721478622545,5.9474448904343715,4.585940278178584,-8.776352009880319e-07,2.396107778794396,2730186.501289926,2.5259514123493476e-05,2.54444478239711,
