case,cost_ratio,finite,hankel_eff_rank,hankel_sigma6_over_sigma1,internal_dim,ks_over_kx,median_frac_s_unstable,n_unstable_099,n_unstable_10,seed,success,teacher_mse,variant
5,7.598045767862162,True,60,0.025268218149699505,64,0.8926428655770676,0.9733288515724083,6,6,0,True,6.37446638188289e-05,generic_linear_SSM
5,2123138891608105.5,True,60,0.10557793780461082,64,0.5651573171369458,0.9475792146999853,7,7,1,False,0.00011998817310720818,generic_linear_SSM
5,18282951.07049981,True,60,0.04277402012917525,64,1.176572910893544,0.9739154900529409,8,6,2,False,0.00028533881740182667,generic_linear_SSM
5,16872708.81134832,True,60,0.19040761839509768,64,1.9526390391215174,0.9555591641628454,8,8,3,False,3.746884173935998e-05,generic_linear_SSM
5,10.765883638011886,True,60,0.024371671846285834,64,0.6419941769884268,0.9669806081767762,4,4,4,True,1.872900037276429e-05,generic_linear_SSM
7,97.59063475774234,True,60,0.01881387683146221,64,1.1117460440924694,0.9643032328928798,4,4,0,True,4.9857391422437865e-06,generic_linear_SSM
7,5379.609964366601,True,60,0.020491875168169044,64,0.7552737329738595,0.9735615939219426,4,4,1,False,0.00011808995882941844,generic_linear_SSM
7,1.8180050960361627e+34,True,3,2.1201565153982706e-15,64,0.1685767843043184,0.9676812888625913,7,7,2,False,9.174726551828242e-05,generic_linear_SSM
7,5.1637694345026e+30,True,3,7.442374851397267e-16,64,0.17084069277604058,0.6848222504211399,7,6,3,False,6.193161734951764e-05,generic_linear_SSM
7,2.009568910823875,True,60,0.02587905881139555,64,1.2994422501604745,0.971249370620149,5,5,4,True,1.587629926744524e-05,generic_linear_SSM
1,131467.80368087173,True,59,0.09637299442421415,256,155.07944715482682,0.6400240454123259,100,6,0,False,1.1767526957412762e-05,S4_d256
1,11409.571354215612,True,31,1.1891104792035746e-06,256,22.53097725490936,0.6013702154521058,92,6,1,False,4.571808342655882e-06,S4_d256
1,2.8056151571255206,True,51,0.06149380788236061,256,88.58138499261055,0.5173359368696171,74,2,2,True,8.600386500427892e-07,S4_d256
1,8806081.255972916,True,33,0.08747289870184101,256,31.406580733305404,0.4294462663266682,162,6,3,False,3.589563110430433e-06,S4_d256
1,19.583243598170245,True,53,0.005303181891409728,256,7.265245566749517,0.7128222694450225,82,7,4,True,3.1659584652594285e-05,S4_d256
2,176.8722167346847,True,35,0.0004248797182412578,256,113.56868529740504,0.2529396080605488,148,12,0,False,2.4782167995156158e-05,S4_d256
2,5153.736791921426,True,43,0.02210121205585393,256,38.706836802740085,0.2988866337449555,87,9,1,False,2.8793597890004545e-05,S4_d256
2,199.17763482869464,True,48,0.0264034782421453,256,19.051302314082506,0.19230035245494,117,5,2,False,7.075247948009357e-06,S4_d256
2,4282.665218694252,True,41,0.02631270843498481,256,458.5019722497941,0.19431798035706258,151,3,3,False,4.886230689882847e-06,S4_d256
