achieved_fidelity,b,case,finite,note,r_chosen,ratio_transfer,rho_transfer,seed,target_fidelity,variant
7.587680483922554e-15,0.017108660793987547,2,True,,6,1.0050000000000607,0.9933836889767328,1,5.551115123125783e-17,M0_S4
7.587680483922554e-15,0.017108660793987547,2,True,,6,1.0050000000000607,0.9933836889767328,2,5.551115123125783e-17,M0_S4
7.587680483922554e-15,0.017108660793987547,2,True,,6,1.0050000000000607,0.9933836889767328,3,5.551115123125783e-17,M0_S4
7.587680483922554e-15,0.017108660793987547,2,True,,6,1.0050000000000607,0.9933836889767328,4,5.551115123125783e-17,M0_S4
5.336009412104659e-15,0.01710866079399548,2,True,,6,1.0049999999998596,0.9933836889767599,0,5.336009412104659e-15,M1
5.336009412104659e-15,0.01710866079399548,2,True,,6,1.0049999999998596,0.9933836889767599,1,5.336009412104659e-15,M1
5.336009412104659e-15,0.01710866079399548,2,True,,6,1.0049999999998596,0.9933836889767599,2,5.336009412104659e-15,M1
5.336009412104659e-15,0.01710866079399548,2,True,,6,1.0049999999998596,0.9933836889767599,3,5.336009412104659e-15,M1
5.336009412104659e-15,0.01710866079399548,2,True,,6,1.0049999999998596,0.9933836889767599,4,5.336009412104659e-15,M1
0.037369463181359336,0.0,3,True,,6,2.381961353272478e+49,1.3256547701002355,0,0.09888118629303735,fullM3
0.05405263157593812,0.0,3,True,,6,129536199840.28726,1.069219289971707,1,0.07318767168519663,fullM3
0.021167740466173004,0.0,3,True,,6,5.665657665279219e+76,1.5547742205304593,2,0.02777112905212243,fullM3
0.062488751411132366,0.0,3,True,,6,7227408207819353.0,1.0996199257646202,3,0.07206960441335064,fullM3
0.06390266342951896,0.0,3,True,,6,4.14501370257357e+52,1.3518363354343772,4,0.07712151844387023,fullM3
1.9992688060632702e-16,0.05801221736691095,3,True,,6,1.0050000000000006,0.9729057515245332,0,2.42861286636753e-17,M0_S4
1.9992688060632702e-16,0.05801221736691095,3,True,,6,1.0050000000000006,0.9729057515245332,1,2.42861286636753e-17,M0_S4
1.9992688060632702e-16,0.05801221736691095,3,True,,6,1.0050000000000006,0.9729057515245332,2,2.42861286636753e-17,M0_S4
1.9992688060632702e-16,0.05801221736691095,3,True,,6,1.0050000000000006,0.9729057515245332,3,2.42861286636753e-17,M0_S4
1.9992688060632702e-16,0.05801221736691095,3,True,,6,1.0050000000000006,0.9729057515245332,4,2.42861286636753e-17,M0_S4
1.1683513630393143e-15,0.05801221736691157,3,True,,6,1.0050000000000006,0.9729057515245336,0,1.1683513630393143e-15,M1
1.1683513630393143e-15,0.05801221736691157,3,True,,6,1.0050000000000006,0.9729057515245336,1,1.1683513630393143e-15,M1
1.1683513630393143e-15,0.05801221736691157,3,True,,6,1.0050000000000006,0.9729057515245336,2,1.1683513630393143e-15,M1
1.1683513630393143e-15,0.05801221736691157,3,True,,6,1.0050000000000006,0.9729057515245336,3,1.1683513630393143e-15,M1
1.1683513630393143e-15,0.05801221736691157,3,True,,6,1.0050000000000006,0.9729057515245336,4,1.1683513630393143e-15,M1
0.14850286467733162,0.0,4,True,,6,29994869656.937267,1.0645727797431983,0,0.16496352940985987,fullM3
0.05469094840536208,0.0,4,True,,6,1.1997418479461005e+23,1.1382225954339857,1,0.057720385603915146,fullM3
