abs_lambda,case,frac_x,lambda_im,lambda_re,seed
1.0202333984969543,3,0.5323487816078786,0.05971715668370075,1.0184841916329677,1
1.0202333984969543,3,0.5323487816078786,-0.05971715668370075,1.0184841916329677,1
1.0083217479459663,3,0.47268377679325896,0.02289154113039775,1.0080618655248714,1
1.0083217479459663,3,0.47268377679325896,-0.02289154113039775,1.0080618655248714,1
1.002777970858757,3,0.05935304557820343,0.0,1.002777970858757,1
1.0000246511402644,3,0.10310545122604227,0.0034953254042549018,1.0000185426223485,1
1.0000246511402644,3,0.10310545122604227,-0.0034953254042549018,1.0000185426223485,1
1.0069809924397606,3,0.17200464043946667,0.09848983135827578,1.0021529185977476,2
1.0069809924397606,3,0.17200464043946667,-0.09848983135827578,1.0021529185977476,2
1.017713268141535,3,0.3312176137820953,0.06211269650764342,1.015816080343225,2
1.017713268141535,3,0.3312176137820953,-0.06211269650764342,1.015816080343225,2
1.0069095233873016,3,0.23870471867131499,0.020012050711143235,1.0067106367344976,2
1.0069095233873016,3,0.23870471867131499,-0.020012050711143235,1.0067106367344976,2
1.0000385054852317,3,0.04074809588630479,0.015587580984707057,0.999917016442955,2
1.0000385054852317,3,0.04074809588630479,-0.015587580984707057,0.999917016442955,2
1.0050559059894093,3,0.22184540789431711,0.10501528203470693,0.9995544831090315,3
1.0050559059894093,3,0.22184540789431711,-0.10501528203470693,0.9995544831090315,3
1.0138961510943474,3,0.3530570242240086,0.04365386828436041,1.0129559442481906,3
1.0138961510943474,3,0.3530570242240086,-0.04365386828436041,1.0129559442481906,3
1.0068431771680773,3,0.2560666951000583,0.015650319187796097,1.0067215359369384,3
1.0068431771680773,3,0.2560666951000583,-0.015650319187796097,1.0067215359369384,3
1.0013181081845188,3,0.032940151969313644,0.005772989904835478,1.0013014662756579,3
1.0013181081845188,3,0.032940151969313644,-0.005772989904835478,1.0013014662756579,3
1.000255603461765,3,0.033996585378425453,0.0007293711333775759,1.0002553375385754,3
1.000255603461765,3,0.033996585378425453,-0.0007293711333775759,1.0002553375385754,3
1.015394478891894,3,0.0033756706213572147,0.23134090542355434,0.9886897052371644,4
1.015394478891894,3,0.0033756706213572147,-0.23134090542355434,0.9886897052371644,4
1.014982305991432,3,0.28851888826293903,0.10073801594535366,1.0099707587940745,4
1.014982305991432,3,0.28851888826293903,-0.10073801594535366,1.0099707587940745,4
1.00069400625234,3,0.049775225126309657,0.07854035126803824,0.9976070906785152,4
1.00069400625234,3,0.049775225126309657,-0.07854035126803824,0.9976070906785152,4
