agrees,b,case,cost_ratio_to_oracle,delta_nu,dnu_valid,finite,markov_err_h10,observed_success,predicts_success,seed,teacher_mse,variant
True,0.0,3,6492.512133834869,0.6952190808246097,True,True,0.011620684827011623,False,False,2,8.743497524162367e-06,truncM3
True,0.0,3,1275.19977616188,1.0,False,True,0.01297643569017451,False,False,3,8.116954362782625e-06,truncM3
True,0.0,3,2551.9779618750463,0.9713496099932484,True,True,0.010956381381076989,False,False,4,8.742279686447987e-07,truncM3
True,0.0008168397405005128,4,1555758.00087919,1.0,False,True,0.012778938820170525,False,False,0,8.48063986758616e-06,truncM3
True,0.0,4,2143218.360176166,1.0,False,True,0.007701861429321624,False,False,1,0.00024466238867663963,truncM3
True,0.0,4,93093.80910807262,1.0,False,True,0.006977584908178948,False,False,2,6.56387341964084e-06,truncM3
True,0.0,4,77507.31473880277,0.9942238450159798,True,True,0.006925220941012002,False,False,3,0.00014007459522533827,truncM3
True,0.0,4,2371053.948413184,1.0,False,True,0.010871153239921643,False,False,4,1.4399212361247138e-05,truncM3
True,0.0,5,12840839.676600534,1.0,False,True,0.010267569685600194,False,False,0,2.3933150837624324e-06,truncM3
True,0.0,5,5903773.825286011,1.0,False,True,0.011001227211427524,False,False,1,0.0004218588114057352,truncM3
True,0.0020623818918631825,5,28236778.063163903,0.9994713137838385,True,True,0.014013603298814849,False,False,2,2.5093283646426095e-05,truncM3
True,0.0025154382948083935,5,3187128.22040077,1.0,False,True,0.008861149949784502,False,False,3,4.502914489343399e-06,truncM3
True,0.0,5,4546985.942726134,1.0,False,True,0.00888567896124666,False,False,4,3.3718947920249756e-06,truncM3
True,0.000848165232672323,7,10669.955708817519,1.0,False,True,0.012072019650567537,False,False,0,1.8187420700467287e-06,truncM3
True,0.0,7,70177.26942811137,1.0,False,True,0.015405020272667658,False,False,1,1.5519444989427692e-06,truncM3
True,0.002754257467158935,7,390.2582029062228,1.0,False,True,0.008704812519350078,False,False,2,1.0613815526045985e-06,truncM3
True,0.0,7,20958.553786549626,1.0,False,True,0.009197662664994622,False,False,3,7.91858374917963e-07,truncM3
True,0.0021793597809075917,7,22274.299059573594,1.0,False,True,0.0062472523725185785,False,False,4,2.7303659695831244e-06,truncM3
True,0.0,1,429.7681007829356,1.0,False,True,0.010420202352511877,False,False,0,1.9232638509127502e-06,fullM3
True,0.0,1,490.1184114253981,1.0,False,True,0.010349003624687873,False,False,1,4.014777726083144e-05,fullM3
