case,cond_R_BtPB,dim,rel_residual,rho_design,seed,variant
1,1.007744454967802,6,6.49530237990358e-16,0.9546564246191132,0,M1
1,1.007744454967802,6,6.49530237990358e-16,0.9546564246191132,1,M1
1,1.007744454967802,6,6.49530237990358e-16,0.9546564246191132,2,M1
1,1.007744454967802,6,6.49530237990358e-16,0.9546564246191132,3,M1
1,1.007744454967802,6,6.49530237990358e-16,0.9546564246191132,4,M1
2,1.023212158079629,6,8.7108811561353e-15,0.9933836889767438,0,M1
2,1.023212158079629,6,8.7108811561353e-15,0.9933836889767438,1,M1
2,1.023212158079629,6,8.7108811561353e-15,0.9933836889767438,2,M1
2,1.023212158079629,6,8.7108811561353e-15,0.9933836889767438,3,M1
2,1.023212158079629,6,8.7108811561353e-15,0.9933836889767438,4,M1
3,1.0345332526856452,6,1.9607213297637805e-15,0.9729057515245383,0,M1
3,1.0345332526856452,6,1.9607213297637805e-15,0.9729057515245383,1,M1
3,1.0345332526856452,6,1.9607213297637805e-15,0.9729057515245383,2,M1
3,1.0345332526856452,6,1.9607213297637805e-15,0.9729057515245383,3,M1
3,1.0345332526856452,6,1.9607213297637805e-15,0.9729057515245383,4,M1
4,1.03061683134921,6,9.541843965350634e-16,0.9477829878361298,0,M1
4,1.03061683134921,6,9.541843965350634e-16,0.9477829878361298,1,M1
4,1.03061683134921,6,9.541843965350634e-16,0.9477829878361298,2,M1
4,1.03061683134921,6,9.541843965350634e-16,0.9477829878361298,3,M1
4,1.03061683134921,6,9.541843965350634e-16,0.9477829878361298,4,M1
5,1.0263523978139917,6,5.100879628568784e-15,0.9880976154266008,0,M1
5,1.0263523978139917,6,5.100879628568784e-15,0.9880976154266008,1,M1
5,1.0263523978139917,6,5.100879628568784e-15,0.9880976154266008,2,M1
5,1.0263523978139917,6,5.100879628568784e-15,0.9880976154266008,3,M1
5,1.0263523978139917,6,5.100879628568784e-15,0.9880976154266008,4,M1
7,1.0175474555515431,6,8.642833139175911e-16,0.9889036189364394,0,M1
7,1.0175474555515431,6,8.642833139175911e-16,0.9889036189364394,1,M1
7,1.0175474555515431,6,8.642833139175911e-16,0.9889036189364394,2,M1
7,1.0175474555515431,6,8.642833139175911e-16,0.9889036189364394,3,M1
7,1.0175474555515431,6,8.642833139175911e-16,0.9889036189364394,4,M1
1,1.0077444549676617,1030,8.116959416379122e-13,0.9987565237111482,0,M0_S4
1,1.0077444549677481,1030,1.3257989906532334e-12,0.9982148263583678,1,M0_S4
1,1.0077444549678334,1030,8.543093861663382e-13,0.9985907567783258,2,M0_S4
1,1.0077444549677974,1030,4.832531344072291e-13,0.9988425254422353,3,M0_S4
1,1.0077444549677816,1030,9.74632131092187e-13,0.9988579675568563,4,M0_S4
2,1.0232121580796498,1030,3.879073687562123e-14,0.9989171868560233,0,M0_S4
2,1.0232121580796607,1030,1.45884457285834e-13,0.9985477511311149,1,M0_S4
2,1.0232121580795652,1030,4.275224355579412e-14,0.998300716339769,2,M0_S4
2,1.023212158079668,1030,3.323402625909703e-14,0.9982825490410893,3,M0_S4
2,1.0232121580796003,1030,2.995406400763863e-14,0.9989143212730229,4,M0_S4
3,1.0345332526855178,1030,3.5991914357717424e-13,0.9989472294238144,0,M0_S4
3,1.0345332526856859,1030,1.3014003753468901e-13,0.9986538791235184,1,M0_S4
3,1.0345332526856557,1030,8.325050517782277e-14,0.9982168666933567,2,M0_S4
3,1.0345332526856585,1030,2.849920567290853e-13,0.9989839973522472,3,M0_S4
3,1.0345332526857183,1030,3.9274381347106695e-13,0.9988177424464456,4,M0_S4
4,1.0306168313489652,1030,3.1121159561380595e-13,0.9989179554524197,0,M0_S4
4,1.0306168313491908,1030,2.6092134599576263e-13,0.9984557271206603,1,M0_S4
4,1.0306168313491022,1030,2.7358368740668635e-13,0.9980427494937836,2,M0_S4
4,1.030616831349,1030,2.5430119265588003e-13,0.9985995453050441,3,M0_S4
4,1.0306168313492623,1030,1.3154199069321784e-13,0.9989312366119308,4,M0_S4
5,1.026352397813914,1030,4.468962470929631e-14,0.9988644531520691,0,M0_S4
