case,cond,delta_nu,dist_to_nearest_int,eta_P,eta_Phat,nearest_int,seed,valid,variant,wno
7,0.0,7.428874781776302e-13,0.0,3,3,0,4,True,M1,-1.8044819787787792e-17
1,16.443935467097134,1.0,0.44393546709713405,0,11,16,0,False,fullM3,5.443935467097132
1,10.24825201623811,1.0,0.24825201623811033,0,12,10,1,False,fullM3,-1.7517479837618903
1,5.324869451852696,1.0,0.3248694518526962,0,7,5,2,False,fullM3,-1.6751305481473038
1,10.98337829696519,1.0,0.0166217030348097,0,11,11,3,False,fullM3,-0.016621703034809563
1,5.503212795272914,1.0,0.49678720472708626,0,4,6,4,False,fullM3,1.5032127952729142
2,-0.008316429369960687,0.9999466369136758,0.008316429369960687,6,8,0,0,True,fullM3,-2.0083164293699607
2,-1.0633207372839752,1.0,0.06332073728397525,6,5,-1,1,False,fullM3,-0.0633207372839748
2,0.9881698610979681,1.0,0.011830138902031884,6,9,1,2,False,fullM3,-2.011830138902032
2,-0.0001040011449919831,0.999628146665802,0.0001040011449919831,6,4,0,3,True,fullM3,1.999895998855008
2,-0.9945032780741645,1.0,0.0054967219258355016,6,5,-1,4,False,fullM3,0.005496721925835142
3,11.973821044099328,1.0,0.026178955900672207,6,18,12,0,False,fullM3,-0.026178955900672603
3,16.999702904380896,1.0,0.0002970956191035157,6,19,17,1,False,fullM3,3.9997029043808965
3,1.1056383200949913,1.0,0.1056383200949913,6,9,1,2,False,fullM3,-1.8943616799050087
3,2.9643135953265087,1.0,0.03568640467349127,6,11,3,3,False,fullM3,-2.035686404673491
3,6.993735938513298,1.0,0.006264061486701777,6,15,7,4,False,fullM3,-2.0062640614867018
4,10.998096192400112,1.0,0.0019038075998878412,6,16,11,0,False,fullM3,0.9980961924001129
4,-1.941004994717746,1.0,0.0589950052822541,6,4,-2,1,False,fullM3,0.05899500528225438
4,-0.11068062049566763,0.9952896546364998,0.11068062049566763,6,5,0,2,True,fullM3,0.8893193795043327
4,8.069471231970997,1.0,0.06947123197099714,6,7,8,3,False,fullM3,7.069471231970996
4,2.9362825764910063,1.0,0.06371742350899368,6,9,3,4,False,fullM3,-0.0637174235089941
5,-1.1413321171325812,1.0,0.1413321171325812,6,6,-1,0,False,fullM3,-1.1413321171325814
