cap,case,cost,cost_ratio_to_oracle,finite,seed,variant
200,3,23203.58454831109,367.718223852354,True,0,M3
200,3,127431.43730684239,2019.4665049213434,True,1,M3
200,3,17497.57161509355,277.29232708141586,True,2,M3
200,3,2213.0833589966505,35.071782995989,True,3,M3
200,3,20817.104869307917,329.89854702631567,True,4,M3
200,4,23860462.074232794,472389.19708625355,True,0,M3
200,4,4780566.23771538,94645.60408034902,True,1,M3
200,4,5705812.351919771,112963.61768948998,True,2,M3
200,4,11516671.850981226,228006.95778083784,True,3,M3
200,4,1503975.2015416315,29775.686475959905,True,4,M3
200,5,408988229.75692,1190228.2784028882,True,0,M3
200,5,81503790.5753458,237190.4844241108,True,1,M3
200,5,65108419.68293457,189477.04757863082,True,2,M3
200,5,21489516.12906151,62538.302877825576,True,3,M3
200,5,99809968.35936701,290464.7081859111,True,4,M3
200,7,16674.29652845993,578.4141304818432,True,0,M3
200,7,1973.0378331115935,68.4426452833647,True,1,M3
200,7,42588.26484452216,1477.3429353813913,True,2,M3
200,7,61176.918894668466,2122.164151730255,True,3,M3
200,7,7204.652119619087,249.92194327843947,True,4,M3
5,1,1623.588240168053,87.74540036313982,True,0,M6
5,1,963.8409893938924,52.08993968324014,True,1,M6
5,1,3843.068487042182,207.6952608276951,True,2,M6
5,1,535.3609331643909,28.93311139924943,True,3,M6
5,1,1410.1600368709503,76.21086058034892,True,4,M6
5,2,21761002.19296127,29434.31093932636,True,0,M6
5,2,54494878.92109687,73710.72327189676,True,1,M6
5,2,41191680.89654667,55716.58570093973,True,2,M6
5,2,19475049.028999332,26342.290837303826,True,3,M6
5,2,28546595.62853877,38612.62291777207,True,4,M6
5,3,2748.295668251561,43.55354663614422,True,0,M6
5,3,42366.71696981656,671.4054840173509,True,1,M6
5,3,87338.60311733802,1384.0963212035624,True,2,M6
5,3,109349.06280612946,1732.9065287852757,True,3,M6
5,3,57031.20080669861,903.8005236278284,True,4,M6
5,4,23767131.87807492,470541.44676650886,True,0,M6
5,4,5915096.037141267,117107.01406284851,True,1,M6
5,4,4912726.776507324,97262.11714753865,True,2,M6
5,4,14235908.813326737,281842.3848288684,True,3,M6
5,4,13603744.930100275,269326.8103904853,True,4,M6
5,5,316950931.8537285,922383.4196467398,True,0,M6
5,5,393114414.54381317,1144032.6610766612,True,1,M6
5,5,281431622.6298354,819015.9308250184,True,2,M6
5,5,196399449.4992361,571557.2274431587,True,3,M6
5,5,93748146.4450152,272823.7314140563,True,4,M6
5,7,37291.64803383973,1293.6087669373235,True,0,M6
5,7,65554.3633091024,2274.013178787306,True,1,M6
5,7,9677.53847727245,335.7038177881758,True,2,M6
5,7,9978.62406112856,346.148165823459,True,3,M6
5,7,15529.383504624122,538.6982797993861,True,4,M6
20,1,1887.7072525008898,102.01948039605692,True,0,M6
20,1,938.9217528341021,50.74320143114719,True,1,M6
20,1,105.18496853593837,5.6846292354364785,True,2,M6
20,1,140.17314336361545,7.575534412177771,True,3,M6
20,1,735.2863086286743,39.7379027120079,True,4,M6
20,2,28337373.070521634,38329.624838290714,True,0,M6
20,2,34327311.63622891,46431.720168602245,True,1,M6
20,2,44614716.68296686,60346.643581570024,True,2,M6
20,2,32042961.87268516,43341.86885393844,True,3,M6
20,2,25487214.171591017,34474.45022299899,True,4,M6
20,3,5690.318513680208,90.17717985116029,True,0,M6
20,3,25784.67068011304,408.62192155561416,True,1,M6
20,3,96988.63699664005,1537.0249909452498,True,2,M6
20,3,96434.65562097028,1528.245784996081,True,3,M6
20,3,74466.34881708736,1180.1035942001597,True,4,M6
20,4,30947723.611720968,612702.7323739801,True,0,M6
20,4,9331960.954991288,184754.0726182834,True,1,M6
20,4,7230354.471096801,143146.48780163005,True,2,M6
20,4,12788717.572641874,253190.9066600675,True,3,M6
20,4,6809967.824392679,134823.67704111262,True,4,M6
20,5,224650845.9861367,653773.8013114735,True,0,M6
20,5,497004075.2858043,1446369.9975870354,True,1,M6
20,5,196502152.24418142,571856.1106442136,True,2,M6
20,5,123303863.59578954,358836.1097219522,True,3,M6
20,5,123286300.0105812,358784.9965742767,True,4,M6
20,7,13346.197810909112,462.96582220783336,True,0,M6
20,7,17918.18518176588,621.5633435589987,True,1,M6
20,7,10607.841682207856,367.975075436062,True,2,M6
20,7,21749.477431692154,754.4669159274343,True,3,M6
20,7,9752.415813542992,338.30123527309337,True,4,M6
50,1,2292.8707486893,123.9161856726988,True,0,M6
50,1,683.4707583350614,36.93757680851475,True,1,M6
50,1,100.7634357179849,5.44567137793812,True,2,M6
50,1,190.16556807701653,10.277331095028503,True,3,M6
50,1,853.0380322627955,46.10169118873172,True,4,M6
50,2,35403545.88623316,47887.45337782108,True,0,M6
50,2,43200600.41207011,58433.885260383926,True,1,M6
50,2,36472193.886787765,49332.92529377852,True,2,M6
50,2,31563082.156085003,42692.77518322259,True,3,M6
50,2,22484877.357122548,30413.43710613823,True,4,M6
50,3,9450.722631199098,149.77008973894624,True,0,M6
50,3,36285.695378937155,575.0366469546847,True,1,M6
50,3,108760.91307379707,1723.585840661326,True,2,M6
50,3,110127.90634299722,1745.2492321912778,True,3,M6
50,3,86703.29364979922,1374.0282703593684,True,4,M6
50,4,29167655.79861136,577460.9670478168,True,0,M6
50,4,13165196.483355843,260644.43248864464,True,1,M6
50,4,7536264.532917162,149202.8922431846,True,2,M6
50,4,7878522.9115408,155978.92030882134,True,3,M6
